Date,Actual,Extracted
1990-04-01,2.4,2.4
1990-07-01,1.7,1.6
1990-10-01,0.6,0.5
1991-01-01,-1.0,-0.9
1991-04-01,-0.5,-0.6
1991-07-01,-0.1,-0.1
1991-10-01,1.2,1.2
1992-01-01,2.9,2.9
1992-04-01,3.2,3.3
1992-07-01,3.7,3.7
1992-10-01,4.4,4.4
1993-01-01,3.3,3.3
1993-04-01,2.8,2.8
1993-07-01,2.3,2.3
1993-10-01,2.6,2.7
1994-01-01,3.4,3.5
1994-04-01,4.2,4.2
1994-07-01,4.3,4.4
1994-10-01,4.1,4.2
1995-01-01,3.5,3.4
1995-04-01,2.4,2.4
1995-07-01,2.7,2.7
1995-10-01,2.2,2.2
1996-01-01,2.6,2.6
1996-04-01,4.0,4.0
1996-07-01,4.0,4.1
1996-10-01,4.4,4.5
1997-01-01,4.3,4.4
1997-04-01,4.3,4.3
1997-07-01,4.7,4.7
1997-10-01,4.5,4.5
1998-01-01,4.9,4.9
1998-04-01,4.1,4.1
1998-07-01,4.1,4.1
1998-10-01,4.9,4.9
1999-01-01,4.8,4.8
1999-04-01,4.7,4.7
1999-07-01,4.7,4.7
1999-10-01,4.8,4.8
2000-01-01,4.2,4.3
2000-04-01,5.3,5.3
2000-07-01,4.1,4.1
2000-10-01,3.0,2.9
2001-01-01,2.3,2.4
2001-04-01,1.1,1.0
2001-07-01,0.5,0.6
2001-10-01,0.2,0.2
2002-01-01,1.3,1.3
2002-04-01,1.3,1.4
2002-07-01,2.2,2.2
2002-10-01,2.1,2.1
2003-01-01,1.8,1.8
2003-04-01,2.0,2.1
2003-07-01,3.3,3.4
2003-10-01,4.3,4.4
2004-01-01,4.3,4.3
2004-04-01,4.2,4.2
2004-07-01,3.4,3.4
2004-10-01,3.3,3.3
2005-01-01,3.9,3.9
2005-04-01,3.6,3.6
2005-07-01,3.5,3.5
2005-10-01,3.1,3.2
2006-01-01,3.4,3.4
2006-04-01,3.1,3.2
2006-07-01,2.4,2.4
2006-10-01,2.6,2.6
2007-01-01,1.5,1.5
2007-04-01,1.8,1.8
2007-07-01,2.2,2.2
2007-10-01,2.0,2.0
2008-01-01,1.1,1.1
2008-04-01,1.1,1.1
2008-07-01,0.0,0.0
2008-10-01,-2.8,-2.8
2009-01-01,-3.3,-3.4
2009-04-01,-3.9,-3.9
2009-07-01,-3.0,-3.1
2009-10-01,0.2,0.2
2010-01-01,1.7,1.5
2010-04-01,2.8,2.8
2010-07-01,3.2,3.2
2010-10-01,2.6,2.6
2011-01-01,1.9,1.9
2011-04-01,1.7,1.7
2011-07-01,0.9,1.0
2011-10-01,1.6,1.6
2012-01-01,2.7,2.7
2012-04-01,2.4,2.4
2012-07-01,2.5,2.6
2012-10-01,1.5,1.5
2013-01-01,1.6,1.6
2013-04-01,1.3,1.3
2013-07-01,1.9,1.8
2013-10-01,2.6,2.6
2014-01-01,1.4,1.5
2014-04-01,2.7,2.7
2014-07-01,3.1,3.1
2014-10-01,2.9,2.9
2015-01-01,4.0,3.9
2015-04-01,3.4,3.4
2015-07-01,2.4,2.4
2015-10-01,1.9,1.9
