Date,GDP,YIV
1990/05,2.428451178,2.481198905
1990/09,1.59026936,3.356492701
1990/12,0.534781145,3.102998175
1991/03,-0.893232323,2.341978102
1991/06,-0.551750842,2.989720803
1991/09,-0.101616162,3.147476277
1991/12,1.248787879,3.077718978
1992/03,2.90962963,3.025448905
1992/06,3.266632997,1.844441606
1992/08,3.701245791,2.439684307
1992/12,4.407491582,2.851177007
1993/03,3.328720539,3.035169708
1993/06,2.816498316,3.096662409
1993/09,2.31979798,2.729417883
1993/12,2.661279461,2.78214781
1994/03,3.546026936,2.598614964
1994/06,4.228989899,2.371395985
1994/09,4.384208754,3.675388686
1994/12,4.151380471,2.205618613
1995/03,3.35976431,2.897136861
1995/06,2.443973064,3.614866788
1995/09,2.707845118,3.055096715
1995/12,2.226666667,3.064089416
1996/03,2.614713805,2.583082117
1996/06,4.027205387,3.510837591
1996/08,4.089292929,2.959817518
1996/12,4.454057239,2.688810219
1997/03,4.353164983,2.49655292
1997/06,4.329882155,2.42679562
1997/09,4.702407407,2.514538321
1997/12,4.523905724,2.899793796
1998/03,4.865387205,2.646286496
1998/06,4.104814815,2.217779197
1998/09,4.128097643,2.358034672
1998/12,4.919713805,2.393264599
1999/03,4.84986532,3.242257299
1999/06,4.694646465,2.603737226
1999/09,4.748973064,2.210242701
1999/12,4.842104377,2.201735401
2000/03,4.283316498,3.706978102
2000/06,5.292239057,3.427220803
2000/08,4.066010101,2.421213504
2000/12,2.85530303,2.867706204
2001/03,2.397407407,4.329198905
2001/06,0.992676768,3.603191606
2001/09,0.589107744,3.10469708
2001/12,0.154494949,3.192427007
2002/03,1.341919192,3.945169708
2002/06,1.36520202,2.799175182
2002/09,2.226666667,2.458155109
2002/12,2.09473064,3.84089781
2003/03,1.807575758,2.554890511
2003/06,2.110252525,3.045133212
2003/09,3.406329966,4.532888686
2003/12,4.368686869,4.200618613
2004/03,4.337643098,3.65834854
2004/06,4.228989899,3.028604015
2004/08,3.437373737,3.378859489
2004/12,3.336481481,3.536589416
2005/03,3.871986532,3.256819343
2005/06,3.615875421,2.977100365
2005/08,3.514983165,2.802330292
2005/12,3.157979798,2.855060219
2006/03,3.390808081,3.642815693
2006/06,3.157979798,2.00679562
2006/09,2.412929293,2.890801095
2006/12,2.599191919,3.214793796
2007/03,1.512659933,2.357536496
2007/06,1.823097643,2.996529197
2007/09,2.226666667,2.839271898
2007/12,2.024882155,3.049501825
2008/03,1.14013468,5.954757299
2008/06,1.109090909,7.407487226
2008/08,0.038080808,7.766505474
2008/12,-2.833468013,7.547972628
2009/03,-3.376734007,6.060728102
2009/06,-3.935521886,9.210958029
2009/08,-3.128383838,5.037476277
2009/12,0.23986532,4.381456204
2010/03,1.481616162,3.944198905
2010/06,2.816498316,3.979428832
2010/09,3.189023569,4.382184307
2010/12,2.614713805,7.462427007
2011/03,1.947272727,4.968919708
2011/06,1.714444444,4.934162409
2011/09,0.969393939,3.788167883
2011/12,1.605791246,2.40589781
2012/03,2.676801347,3.639890511
2012/06,2.389646465,2.528921533
2012/08,2.552626263,1.584125912
2012/12,1.512659933,1.391919708
2013/03,1.59026936,2.599611314
2013/06,1.310875421,2.914866788
2013/08,1.776531987,3.623859489
2013/12,2.599191919,2.75785219
2014/03,1.489377104,2.880594891
2014/06,2.68456229,2.828324818
2014/09,3.126936027,2.408567518
2014/12,2.925151515,2.977572993
2015/03,3.94959596,3.29280292
2015/06,3.406329966,3.17054562
2015/09,2.443973064,2.715801095
2015/12,1.947272727,2.724768248
