IND,EMP,CON,DATE,TIV
-0.93,1.9,7.09,32874,4.09
0.5,1.9,6.89,32905,3.76
0.77,1.9,7.32,32933,4.01
0.54,1.8,6.41,32964,3.94
1.43,1.8,6.31,32994,3.71
1.71,1.7,6.67,33025,4.06
2.52,1.6,6.58,33055,4.17
1.91,1.4,6.29,33086,4.49
2.4,1.1,6.85,33117,4.44
1.7,0.8,6.52,33147,4.66
0.18,0.4,6.27,33178,2.99
-1.08,0.3,4.81,33208,5.18
-0.85,-0.1,2.96,33239,3.71
-2.5,-0.6,3.71,33270,3.6
-3.48,-1,4.21,33298,3.82
-3.14,-1.2,3.64,33329,4.33
-2.38,-1.4,4.17,33359,2.95
-1.81,-1.4,3.57,33390,2.59
-1.56,-1.4,3.78,33420,2.95
-1.8,-1.2,3.14,33451,2.81
-1.05,-1.1,2.96,33482,2.97
-0.48,-0.9,2.72,33512,3.65
0.59,-0.8,3.4,33543,3.28
0.85,-0.8,4.12,33573,3.68
0.72,-0.6,6.34,33604,4.32
2.15,-0.4,6.02,33635,4.1
3.55,-0.2,5.21,33664,4.78
4.12,0.1,5.74,33695,4.81
3.43,0.4,5.73,33725,4.54
2.51,0.4,6,33756,4.16
3.31,0.5,6.02,33786,5.28
2.72,0.6,6.34,33817,5.37
2.05,0.6,6.79,33848,6.01
2.99,0.7,7.76,33878,6.28
3.55,0.9,7.42,33909,5.19
4.06,1.1,7.86,33939,4.56
5.09,1.3,6.27,33970,4.77
4.81,1.6,6.24,34001,5.11
3.8,1.5,5.72,34029,5.26
3.38,1.6,6.34,34060,4.23
2.69,1.8,6.35,34090,4.19
2.84,1.9,6.29,34121,3.68
2.24,2.1,6.28,34151,5.44
2.63,2.1,6.16,34182,4.13
2.89,2.3,6.02,34213,3.97
2.9,2.4,5.79,34243,4.3
2.89,2.5,5.9,34274,4.54
3.36,2.6,5.41,34304,3.86
3.31,2.6,5.63,34335,4
2.88,2.5,6.37,34366,4.04
4.06,3,6.74,34394,5.06
4.28,3,6.32,34425,6.34
5.18,3,5.59,34455,6.35
5.68,3.2,6.06,34486,6.23
5.52,3.2,5.63,34516,5.68
6.25,3.3,6.28,34547,4.93
6.15,3.4,5.84,34578,4.6
6.23,3.3,6.18,34608,4.94
6.45,3.5,5.96,34639,4.93
6.98,3.4,5.92,34669,4.71
6.77,3.5,5.8,34700,5.12
6.57,3.5,4.71,34731,5.08
5.66,3.2,5.15,34759,5.1
5,3.1,4.69,34790,4.62
4.82,2.7,5.65,34820,5.3
4.5,2.7,5.7,34851,6.25
3.93,2.4,5.29,34881,5.92
4.62,2.4,5.1,34912,5.41
4.64,2.3,5.14,34943,4.67
3.63,2.2,4.18,34973,4.66
3.26,2,4.77,35004,3.82
2.58,1.9,5.29,35034,3.99
1.72,1.6,4.83,35065,4.35
3.45,1.7,5.81,35096,4.88
3.21,1.8,5.89,35125,5.34
4.22,1.8,6.5,35156,5.73
4.63,2.1,5.89,35186,5.42
5.15,2.1,5.07,35217,5.63
5.44,2.2,5.67,35247,6.28
4.73,2.2,5.39,35278,5.56
5.03,2.2,5.5,35309,5.54
5.09,2.2,6.27,35339,5.36
5.76,2.4,5.85,35370,4.65
6.04,2.4,5.51,35400,4.52
6.89,2.6,6.4,35431,4.88
6.54,2.5,5.87,35462,4.25
7.35,2.5,5.43,35490,4.21
6.4,2.6,4.83,35521,4.38
6.25,2.6,4.53,35551,3.8
5.87,2.5,5.06,35582,3.55
6.82,2.6,5.65,35612,3.62
7.31,2.4,5.91,35643,3.67
7.53,2.6,5.76,35674,3.71
8.52,2.7,5.8,35704,4.84
8.51,2.7,5.79,35735,3.5
8.14,2.8,5.83,35765,3.64
8.54,2.8,5.15,35796,4.28
7.39,2.7,5.33,35827,3.57
6.74,2.6,5.43,35855,3.76
7.11,2.6,6.02,35886,3.66
7.17,2.7,6.92,35916,3.27
5.98,2.7,6.87,35947,3.18
4.81,2.5,6.15,35977,2.82
5.86,2.8,6.05,36008,4.67
4.72,2.6,6.5,36039,5.58
4.67,2.4,6.41,36069,5.95
3.69,2.4,6.26,36100,4.27
3.75,2.4,6.65,36130,5.24
3.71,2.3,6.73,36161,4.29
4.12,2.5,6.6,36192,4.95
4.22,2.4,6.65,36220,4.19
4.12,2.5,7.05,36251,4.42
4.17,2.4,6.64,36281,4.68
4.65,2.4,6.51,36312,4.8
5.68,2.5,6.65,36342,5.1
3.99,2.4,6.78,36373,5.14
3.76,2.4,6.93,36404,4.6
4.3,2.5,6.72,36434,4.26
4.86,2.5,7.02,36465,3.93
5.28,2.5,7.71,36495,4.36
4.8,2.6,7.61,36526,4.82
4.56,2.3,8.49,36557,5.02
4.77,2.6,9.02,36586,4.8
5.24,2.6,7.66,36617,5.09
4.7,2.6,7.74,36647,4.76
4.97,2.3,7.83,36678,4.29
4.16,2.2,7.68,36708,4.32
3.42,2.1,7.47,36739,3.2
4.26,2,7.9,36770,3.75
2.58,1.7,7.59,36800,3.8
2.13,1.6,7.22,36831,3.64
1.06,1.5,6.22,36861,4.61
0.39,1.3,6.76,36892,4.84
-0.55,1.3,5.68,36923,5.25
-1.14,0.9,4.52,36951,5.43
-2.13,0.4,4.95,36982,5.15
-2.89,0.2,5.06,37012,4.77
-3.57,0.2,4.7,37043,4.39
-3.97,0,4.55,37073,4.5
-3.81,-0.1,4.56,37104,4.54
-4.55,-0.4,1.89,37135,5.82
-4.68,-0.7,4.65,37165,5.51
-5.17,-1.1,3.85,37196,6.24
-4.89,-1.3,2.91,37226,6.69
-3.67,-1.4,2.83,37257,6
-3.07,-1.5,3.18,37288,5.27
-2.05,-1.5,3.57,37316,5.8
-1.36,-1.4,4.34,37347,5.08
-0.33,-1.3,3.34,37377,5.12
1.22,-1.2,3.65,37408,5.8
1.56,-1.2,4.36,37438,7.03
1.7,-1.1,4.12,37469,6.51
2.23,-1,5.39,37500,7.75
2.37,-0.6,3.08,37530,7.11
3.41,-0.4,4.07,37561,5.95
2.88,-0.4,5.11,37591,6.09
3.01,-0.2,5,37622,6
3.18,-0.2,4.4,37653,5.73
2.11,-0.4,4.99,37681,5.95
0.96,-0.3,4.32,37712,5.17
0.57,-0.3,4.74,37742,5.02
-0.21,-0.4,4.92,37773,5.16
0.47,-0.3,4.85,37803,7.83
0.31,-0.3,5.85,37834,6.89
0.76,-0.2,6.01,37865,6.94
1.21,-0.1,5.58,37895,6.77
1.46,-0.1,5.9,37926,6.03
1.89,0.1,5.54,37956,6.33
1.37,0.1,6.03,37987,6.01
1.84,0.3,6.42,38018,5
1.57,0.7,6.29,38047,6.07
2.76,0.9,6.14,38078,6.11
3.55,1.2,7.01,38108,5.59
2.52,1.2,6.1,38139,5.04
2.86,1.3,6.21,38169,5.7
3.08,1.4,5.34,38200,5.61
2.57,1.4,6.2,38231,4.69
3.4,1.5,6.74,38261,5.06
2.82,1.6,6.6,38292,4.54
3.65,1.6,6.97,38322,4.28
3.87,1.5,6.04,38353,4.34
3.95,1.7,6.35,38384,4.35
4.3,1.5,6.11,38412,4.22
4.01,1.6,6.89,38443,4.54
3.33,1.5,5.89,38473,3.93
4.59,1.6,7.09,38504,3.9
3.46,1.9,7.43,38534,3.9
3.67,1.9,7.02,38565,3.71
1.64,1.9,6.79,38596,3.65
1.96,1.7,6.59,38626,3.75
2.77,1.9,6.15,38657,3.49
2.66,1.9,5.75,38687,3.38
2.31,2,6.96,38718,3.68
1.61,2,6.58,38749,2.86
1.98,2.2,6.45,38777,3.3
2.22,2,6.12,38808,3.23
1.98,1.9,6.61,38838,3.16
1.98,1.8,5.91,38869,3.27
2.27,1.7,5.58,38899,3.45
2.39,1.6,5.54,38930,3.08
4.13,1.7,5.28,38961,3.13
2.77,1.6,5,38991,3.12
1.64,1.5,4.94,39022,3.26
2.07,1.6,5.57,39052,3.37
1.42,1.5,5.04,39083,3.22
2.43,1.3,5.02,39114,3.62
2.45,1.3,5.08,39142,3.76
2.75,1.2,4.81,39173,3.32
2.91,1.3,4.73,39203,3.03
2.54,1.3,4.62,39234,3.75
2.54,1.1,4.15,39264,5.25
2.37,1,4.64,39295,5.52
2.97,0.9,4.74,39326,5.06
2.6,1,4.84,39356,4.96
3.3,0.9,5.52,39387,6.72
2.25,0.8,4.64,39417,6.62
2.51,0.7,4.35,39448,5.65
1.14,0.6,3.84,39479,4.9
0.68,0.3,3.91,39508,7.49
-0.78,0.1,3.96,39539,5.55
-1.38,-0.1,4.17,39569,6.72
-1.64,-0.3,4.56,39600,6.92
-2.13,-0.4,4.07,39630,6.71
-3.84,-0.6,3.49,39661,6.11
-8.36,-1,2.51,39692,9.69
-7.1,-1.4,1.36,39722,7.32
-8.8,-2,-0.78,39753,5.98
-11.48,-2.6,-1.79,39783,8.51
-13.35,-3.1,-1.47,39814,7.09
-13.62,-3.6,-1.49,39845,6.32
-14.79,-4.2,-2.42,39873,5.01
-14.82,-4.5,-2.72,39904,6.27
-15.2,-4.6,-3.03,39934,6.07
-15.33,-4.9,-2.98,39965,6.83
-13.95,-5,-2.6,39995,6.38
-11.63,-4.9,-1.32,40026,5.4
-6.93,-4.8,-1.59,40057,5.66
-7.51,-4.6,-0.29,40087,5.86
-5.96,-4,1.22,40118,4.27
-2.83,-3.7,2.76,40148,5.24
0.69,-3.2,2.23,40179,4.1
1.71,-2.7,2.71,40210,4.2
4.03,-2,3.81,40238,4.36
5.25,-1.3,3.99,40269,4.58
7.88,-0.6,3.92,40299,4.96
8.46,-0.4,3.51,40330,4.69
7.75,-0.2,3.49,40360,4.99
6.88,0,2.68,40391,4.85
6.32,0.1,3.7,40422,3.99
5.7,0.4,3.75,40452,4.32
5.31,0.5,4.17,40483,4.99
6.01,0.8,3.93,40513,6.42
4.66,0.8,4.34,40544,5.12
3.83,1,4.38,40575,4.94
4.17,1.1,4.57,40603,5
3.42,1.1,4.69,40634,4.44
2.16,0.8,4.75,40664,4.08
2.3,1.1,4.78,40695,5.41
2.4,1.2,4.84,40725,5.88
2.66,1.3,4.62,40756,3.73
2.4,1.5,4.77,40787,3.87
3.38,1.5,4.35,40817,4.87
3.26,1.5,3.91,40848,3.49
2.84,1.6,3.66,40878,2.61
3.6,1.8,4.09,40909,2.64
4.3,1.9,4.62,40940,2.65
2.79,1.9,3.8,40969,3.42
3.93,1.7,3.7,41000,2.74
3.9,1.7,3.36,41030,2.66
3.58,1.6,2.91,41061,2.17
3.3,1.6,2.81,41091,2.89
2.23,1.7,2.84,41122,2.28
2.31,1.6,3.01,41153,2
1.83,1.6,3.22,41183,
2.4,1.6,3.51,41214,
2.19,1.6,3.42,41244,
1.44,1.5,3.14,41275,
1.79,1.5,2.61,41306,
2.68,1.4,2.51,41334,
1.74,1.5,2.06,41365,
1.65,1.6,2.52,41395,
1.88,1.7,2.95,41426,
1.18,1.7,2.91,41456,
2.34,1.7,2.95,41487,
2.81,1.7,2.76,41518,
2.42,1.8,2.88,41548,
2.23,1.8,3.15,41579,
2.18,1.7,3.39,41609,
1.89,1.7,2.69,41640,
2.16,1.6,2.98,41671,
2.73,1.7,3.72,41699,
2.95,1.8,4.48,41730,
3.21,1.8,4.5,41760,
3.39,1.9,4.83,41791,
4.03,2,4.97,41821,
3.24,1.9,5.38,41852,
3.01,2,5.12,41883,
3.22,2,5.24,41913,
3.72,2,4.9,41944,
3.26,2.2,4.75,41974,
3.17,2.2,4.66,42005,
1.79,2.3,4.45,42036,
0.53,2.1,4.3,42064,
-0.11,2.1,4.1,42095,
-0.9,2.2,4.34,42125,
-1.6,2.1,4.09,42156,
-1.22,2.1,4.21,42186,
-1.27,2.1,3.75,42217,
-1.93,1.9,3.65,42248,
-2.3,2,3.07,42278,
-3.73,1.9,3.09,42309,
-4.14,1.9,3.22,42339,
